Nano-2 ready
time_ms,battery_V,rssi
6064,4.132,-86
7114,4.131,-76
8158,4.129,-70
9207,4.128,-73
10244,4.128,-73
11300,4.127,-62
12359,4.125,-74
13394,4.125,-63
14424,4.124,-74
15454,4.124,-67
16506,4.122,-83
17564,4.122,-80
18594,4.122,-76
19646,4.121,-69
20685,4.121,-76
21732,4.119,-76
22766,4.120,-74
23813,4.118,-75
24855,4.117,-70
25883,4.116,-82
26925,4.116,-72
27965,4.116,-78
29009,4.116,-76
30044,4.115,-74
31086,4.114,-88
32125,4.114,-77
33164,4.113,-85
34192,4.112,-77
35243,4.111,-75
36283,4.111,-76
37355,4.111,-76
38435,4.110,-77
39463,4.109,-75
40502,4.109,-72
41544,4.109,-71
42584,4.108,-71
43614,4.107,-71
44644,4.108,-72
45672,4.107,-72
46704,4.106,-73
47750,4.106,-77
48782,4.106,-64
49824,4.104,-81
50860,4.104,-75
51895,4.104,-74
52944,4.103,-77
53994,4.102,-78
55025,4.102,-77
56056,4.102,-74
57095,4.102,-75
58134,4.101,-73
59188,4.102,-75
60242,4.102,-76
61296,4.101,0
62332,4.100,-63
63364,4.099,-77
64410,4.099,0
65464,4.099,-74
66494,4.098,-64
67544,4.097,-71
68584,4.099,-71
69634,4.098,-75
70677,4.097,-74
71714,4.097,-83
72754,4.096,-72
73812,4.096,-75
74866,4.096,0
75894,4.096,-74
76939,4.095,-74
77974,4.094,-72
79014,4.094,-69
80044,4.094,-70
81086,4.094,-66
82134,4.094,-68
83175,4.094,-79
84215,4.093,-72
85245,4.093,-64
86284,4.093,-63
87314,4.092,-76
88365,4.091,-68
89395,4.092,-70
90438,4.091,0
91485,4.090,-88
92515,4.090,-86
93565,4.090,-65
94617,4.090,-75
95668,4.089,-62
96731,4.089,-67
97768,4.088,-79
98816,4.088,-72
99852,4.088,-64
100898,4.089,-65
101945,4.088,-72
102982,4.086,-71
104022,4.088,-64
105063,4.087,-74
106100,4.086,-70
107135,4.087,-76
108171,4.086,-63
109207,4.085,-70
110247,4.086,-77
111303,4.086,-73
112367,4.085,0
113405,4.085,-76
114471,4.084,0
115525,4.083,-71
116580,4.085,-72
117625,4.084,-74
118654,4.083,-69
119695,4.084,-63
120745,4.083,-77
121803,4.083,0
122857,4.083,-81
123924,4.083,-72
124965,4.083,-71
126003,4.081,-73
127049,4.083,-72
128105,4.082,-66
129133,4.081,-61
130173,4.081,-62
131208,4.081,-69
132257,4.081,-71
133313,4.081,-82
134345,4.080,-70
135379,4.079,-72
136426,4.080,-61
137478,4.081,-71
138526,4.079,-71
139581,4.079,-74
140639,4.078,-71
141690,4.078,-75
142725,4.073,-71
143777,4.078,-71
144815,4.078,-72
145844,4.078,-82
146896,4.078,-78
147930,4.078,-65
148981,4.077,-73
150032,4.076,-80
151065,4.076,-79
152103,4.077,-72
153135,4.076,-72
154198,4.075,-72
155235,4.076,-73
156272,4.076,-71
157313,4.075,-64
158353,4.074,-73
159395,4.075,-74
160440,4.074,-62
161480,4.076,-82
162510,4.074,-83
163556,4.074,-65
164595,4.073,-72
165623,4.073,-74
166661,4.073,-71
167706,4.073,-72
168745,4.073,-70
169796,4.072,-72
170835,4.073,-67
171863,4.073,-69
172909,4.072,-68
173948,4.071,-73
174985,4.071,-72
176035,4.073,-72
177077,4.072,-72
178125,4.072,-72
179192,4.072,-80
180267,4.070,-79
181338,4.070,-72
182395,4.071,-80
183434,4.071,-79
184475,4.070,-65
185503,4.071,-78
186544,4.071,-73
187595,4.071,-79
188653,4.070,-72
189706,4.066,-79
190765,4.069,-74
191817,4.068,0
192855,4.069,-66
193894,4.068,-68
194925,4.069,-74
195964,4.069,-74
197007,4.068,0
198037,4.069,-70
199076,4.069,-74
200128,4.068,-75
201171,4.068,-72
202220,4.067,-61
203265,4.067,-72
204311,4.066,-75
205355,4.066,-79
206422,4.066,-73
207480,4.067,0
208526,4.066,-80
209576,4.066,0
210605,4.066,-75
211650,4.065,-61
212692,4.066,-74
213731,4.065,-66
214777,4.064,-75
215823,4.064,-78
216851,4.065,-69
217883,4.064,-62
218913,4.064,-61
219942,4.064,-73
220982,4.064,-82
222012,4.063,-66
223055,4.065,-73
224095,4.064,-61
225136,4.064,-72
226176,4.064,-72
227224,4.064,-73
228264,4.063,-73
229295,4.063,-71
230324,4.064,-68
231365,4.063,-73
232405,4.062,-72
233447,4.063,-65
234488,4.063,-72
235526,4.062,-73
236584,4.061,-80
237616,4.063,-82
238672,4.063,-62
239730,4.062,-74
240769,4.063,-73
241816,4.063,-76
242859,4.061,-74
243911,4.062,-76
244973,4.061,-71
246004,4.061,-77
247071,4.061,-73
248120,4.061,-74
249163,4.061,-63
250205,4.061,-70
251248,4.060,-80
252286,4.060,-74
253350,4.060,-75
254386,4.061,-78
255437,4.060,-75
256477,4.059,-73
257504,4.061,-64
258545,4.060,-73
259590,4.059,-73
260636,4.060,0
261698,4.059,-75
262756,4.058,-81
263792,4.059,-71
264841,4.059,-74
265877,4.059,-81
266905,4.058,-78
267950,4.057,-71
268995,4.058,-80
270033,4.058,-75
271080,4.057,-74
272116,4.057,-75
273154,4.058,-73
274216,4.057,-79
275282,4.057,-74
276325,4.057,-74
277366,4.056,-74
278404,4.056,-77
279444,4.057,-73
280493,4.056,-81
281537,4.057,-77
282578,4.056,-70
283617,4.056,-71
284676,4.056,-79
285718,4.056,-75
286767,4.056,-78
287812,4.056,-70
288878,4.055,-73
289917,4.055,-83
290948,4.055,-80
291991,4.055,-79
293036,4.055,-76
294076,4.055,-74
295104,4.055,-80
296149,4.054,-79
297186,4.055,-62
298217,4.054,-68
299248,4.054,-74
300289,4.054,-79
301326,4.054,-79
302366,4.054,-76
303406,4.052,-78
304444,4.053,-75
305479,4.053,-75
306514,4.054,-74
307548,4.054,-80
308587,4.054,-73
309643,4.053,-75
310697,4.052,-83
311734,4.052,-71
312765,4.052,-67
313805,4.053,-75
314846,4.052,-83
315896,4.052,-78
316959,4.052,-75
318009,4.052,-81
319055,4.053,-74
320117,4.052,-74
321162,4.052,-74
322218,4.052,-62
323265,4.051,-73
324319,4.052,-67
325366,4.051,-78
326397,4.051,-73
327437,4.051,-79
328510,4.051,-72
329543,4.052,-74
330586,4.051,-74
331623,4.051,-66
332653,4.052,-64
333682,4.050,-72
334716,4.051,-74
335753,4.051,-62
336793,4.050,-81
337823,4.050,-74
338887,4.050,-66
339938,4.049,-59
340979,4.050,-61
342038,4.049,-67
343077,4.050,-75
344116,4.049,-62
345167,4.048,-66
346213,4.049,-82
347267,4.048,-76
348338,4.049,-75
349386,4.049,-73
350426,4.049,-76
351477,4.049,-73
352527,4.049,-69
353565,4.049,-62
354596,4.049,-69
355645,4.048,-78
356696,4.047,-66
357745,4.049,-67
358778,4.048,0
359818,4.048,-82
360863,4.048,-83
361910,4.047,-63
362963,4.046,-81
364020,4.047,-73
365070,4.046,-74
366117,4.048,-73
367145,4.047,-68
368188,4.046,0
369233,4.046,-79
370288,4.048,-66
371318,4.047,-66
372356,4.046,-74
373396,4.046,-68
374440,4.046,-74
375487,4.047,-73
376521,4.046,-70
377571,4.046,-82
378614,4.046,-83
379667,4.046,-69
380711,4.046,-73
381759,4.046,-75
382798,4.046,-75
383847,4.045,-64
384877,4.045,-71
385922,4.045,-76
386959,4.046,-74
388007,4.045,-75
389050,4.045,-75
390083,4.044,-72
391124,4.044,-74
392164,4.045,-81
393200,4.044,-74
394245,4.043,-70
395284,4.044,-80
396323,4.044,-76
397357,4.044,-81
398399,4.044,-73
399450,4.044,-74
400487,4.044,-74
401517,4.044,-64
402555,4.044,-82
403592,4.043,-74
404625,4.043,-74
405663,4.043,0
406717,4.043,-80
407756,4.043,-76
408812,4.043,-75
409845,4.043,-73
410875,4.043,-82
411917,4.043,-75
412954,4.043,-80
413991,4.043,-77
415030,4.043,-75
416067,4.042,-80
417142,4.042,-73
418207,4.042,-68
419248,4.043,-63
420297,4.043,-76
421329,4.041,-73
422365,4.042,-73
423409,4.041,-83
424447,4.041,-65
425477,4.043,-73
426517,4.042,-64
427567,4.043,-69
428607,4.041,-73
429650,4.041,-75
430700,4.041,-82
431738,4.041,-75
432780,4.041,-73
433837,4.041,-72
434872,4.041,-73
435926,4.041,-72
436978,4.041,-72
438007,4.040,-83
439045,4.040,-71
440095,4.041,-73
441139,4.041,-73
442178,4.034,-74
443228,4.039,-71
444290,4.039,-73
445333,4.039,-77
446377,4.040,-67
447412,4.039,-73
448460,4.039,-75
449504,4.039,-75
450533,4.040,-73
451562,4.040,-80
452608,4.040,-79
453667,4.039,-71
454725,4.038,-73
455780,4.039,-77
456830,4.039,-72
457887,4.039,-79
458927,4.038,-73
459978,4.038,-75
461027,4.039,-73
462076,4.038,0
463133,4.039,-62
464179,4.039,-75
465209,4.038,-71
466247,4.038,-71
467297,4.039,-65
468336,4.038,-73
469388,4.038,0
470417,4.038,-76
471467,4.038,-74
472507,4.038,-85
473549,4.038,-73
474628,4.038,-76
475682,4.038,-67
476728,4.038,-82
477779,4.038,-70
478832,4.038,-73
479877,4.036,-72
480907,4.037,-75
481959,4.037,-68
482987,4.036,-79
484027,4.036,-79
485066,4.036,-80
486108,4.036,-73
487136,4.036,-73
488178,4.036,-81
489222,4.036,-77
490276,4.035,-73
491318,4.036,-76
492369,4.036,-70
493412,4.036,-70
494448,4.036,-77
495501,4.036,-73
496551,4.036,-74
497589,4.036,-75
498628,4.035,-75
499668,4.034,-72
500711,4.035,-74
501759,4.035,-75
502806,4.036,-73
503859,4.034,-61
504918,4.035,-73
505954,4.035,-67
506988,4.035,-73
508018,4.035,-68
509069,4.034,-68
510116,4.036,-70
511161,4.034,-73
512196,4.034,-75
513231,4.036,-73
514289,4.034,0
515368,4.034,-65
516398,4.034,-75
517450,4.033,-80
518497,4.035,-65
519538,4.034,-79
520580,4.034,-83
521619,4.034,-71
522661,4.034,-72
523713,4.034,-74
524746,4.034,-74
525776,4.034,-73
526818,4.033,-80
527852,4.034,-74
528890,4.034,-77
529928,4.034,-73
530966,4.034,-61
531996,4.034,-64
533026,4.034,-76
534071,4.034,0
535115,4.034,-73
536156,4.033,-73
537198,4.033,-75
538237,4.033,-78
539276,4.033,-78
540317,4.033,-82
541381,4.033,-70
542416,4.032,-76
543464,4.033,-76
544523,4.033,-62
545561,4.033,-81
546602,4.033,-76
547638,4.033,-75
548676,4.033,-81
549708,4.031,-76
550754,4.032,-78
551800,4.033,-80
552830,4.033,-75
553889,4.033,-75
554918,4.032,-72
555946,4.032,-79
556987,4.032,-68
558041,4.031,-71
559088,4.032,-76
560118,4.032,-75
561161,4.031,-75
562214,4.032,-68
563250,4.032,-67
564290,4.031,-74
565313,4.032,-62
566343,4.031,-76
567388,4.031,-76
568416,4.032,-82
569476,4.032,-74
570528,4.030,-79
571556,4.032,-68
572588,4.031,-81
573657,4.031,-69
574686,4.032,-74
575734,4.032,-73
576817,4.031,-82
577846,4.029,-69
578885,4.030,-73
579937,4.031,-76
580988,4.031,-74
582048,4.029,-65
583076,4.029,-74
584108,4.029,-74
585136,4.029,-79
586168,4.029,-69
587198,4.030,-75
588228,4.029,-67
589266,4.029,-74
590326,4.029,0
591356,4.029,-64
592388,4.029,-74
593418,4.029,-70
594464,4.029,-80
595501,4.029,-62
596544,4.029,-75
597589,4.029,0
598618,4.029,-74
599650,4.029,-62
600678,4.029,-77
601730,4.028,-62
602768,4.028,-62
603813,4.029,-75
604849,4.029,-78
605898,4.029,-61
606948,4.029,-66
607989,4.029,-66
609055,4.029,-68
610101,4.028,0
611158,4.028,-80
612198,4.028,-75
613241,4.029,0
614290,4.028,-78
615329,4.028,-79
616388,4.029,-68
617442,4.027,-68
618484,4.028,-67
619516,4.028,-71
620581,4.028,-75
621632,4.028,-76
622675,4.027,-74
623725,4.028,-65
624761,4.027,-74
625800,4.028,-76
626846,4.027,-81
627902,4.028,-74
628952,4.028,-74
629988,4.028,-69
631037,4.027,-74
632091,4.026,0
633137,4.027,-74
634193,4.026,-74
635242,4.027,-73
636279,4.028,-73
637323,4.027,-64
638368,4.026,-86
639441,4.026,-75
640482,4.026,-83
641528,4.026,-81
642587,4.028,-72
643630,4.026,-74
644679,4.026,-73
645727,4.026,-75
646761,4.027,-72
647802,4.026,-75
648853,4.026,-74
649943,4.026,-69
650988,4.025,-75
652030,4.026,-74
653068,4.026,-67
654104,4.026,0
655146,4.026,-69
656187,4.026,-74
657232,4.025,-64
658271,4.026,-74
659317,4.025,-80
660361,4.025,0
661408,4.026,-73
662472,4.026,-86
663519,4.025,-79
664549,4.026,0
665600,4.024,-74
666627,4.025,-80
667657,4.024,-70
668702,4.024,-73
669740,4.025,-74
670770,4.024,-71
671799,4.026,-75
672852,4.024,-73
673904,4.025,-67
674950,4.025,-70
675989,4.024,-74
677015,4.025,-71
678054,4.024,-76
679095,4.025,-82
680134,4.023,-75
681174,4.024,-82
682204,4.025,-79
683255,4.024,-75
684304,4.024,-82
685347,4.024,-83
686387,4.024,-63
687423,4.024,-82
688470,4.023,-73
689508,4.024,-75
690539,4.024,-75
691569,4.023,-73
692612,4.023,-71
693677,4.023,-62
694724,4.023,-72
695805,4.023,-74
696839,4.023,-69
697867,4.024,-76
698909,4.024,-74
699952,4.024,-62
700990,4.023,-62
702043,4.024,-73
703092,4.024,0
704129,4.023,-73
705169,4.024,-74
706209,4.024,-66
707239,4.024,-68
708292,4.022,-80
709348,4.023,-61
710391,4.024,-81
711437,4.023,-82
712476,4.023,-82
713514,4.023,-73
714581,4.023,-75
715619,4.023,-67
716673,4.023,-76
717717,4.021,-75
718761,4.022,-73
719814,4.023,-62
720869,4.021,-74
721911,4.023,-73
722973,4.021,0
724022,4.022,-73
725080,4.023,-72
726144,4.022,0
727205,4.022,-73
728240,4.023,-83
729309,4.022,-74
730339,4.023,-77
731384,4.021,-72
732450,4.023,-73
733477,4.021,-62
734519,4.021,-69
735559,4.022,-65
736597,4.022,-74
737641,4.021,-81
738665,4.022,-72
739697,4.022,-71
740736,4.022,-76
741772,4.021,-63
742829,4.021,-75
743887,4.021,-69
744925,4.021,-62
745959,4.021,-67
747010,4.021,0
748060,4.021,-69
749114,4.021,-76
750175,4.020,-74
751220,4.021,-76
752269,4.021,-73
753338,4.021,-74
754389,4.021,-62
755450,4.020,-72
756496,4.021,-67
757543,4.020,-78
758620,4.020,-69
759660,4.019,-67
760715,4.020,-65
761752,4.019,0
762806,4.019,-67
763858,4.020,-63
764903,4.020,-79
765951,4.019,-78
766993,4.020,-80
768033,4.020,-66
769083,4.020,-69
770119,4.019,-62
771169,4.020,-78
772213,4.019,-74
773251,4.019,-79
774303,4.020,-82
775339,4.020,-81
776380,4.020,-64
777408,4.019,-74
778450,4.019,-69
779504,4.021,-67
780552,4.019,-75
781598,4.018,-64
782642,4.019,-76
783687,4.019,-64
784740,4.018,-72
785785,4.019,-73
786846,4.019,-72
787891,4.019,-69
788929,4.019,-73
789991,4.019,-77
791022,4.019,-67
792063,4.019,-80
793110,4.019,-67
794160,4.019,-78
795187,4.019,-80
796225,4.019,-71
797265,4.019,-65
798305,4.018,-69
799350,4.019,-74
800400,4.018,-70
801438,4.016,-67
802490,4.018,-69
803538,4.018,-78
804580,4.019,-79
805621,4.019,-72
806669,4.018,-65
807712,4.018,-64
808752,4.018,-73
809791,4.018,-72
810843,4.018,0
811883,4.019,-86
812946,4.019,-69
813996,4.018,-71
815051,4.018,-66
816088,4.018,-71
817129,4.018,-74
818179,4.017,-68
819219,4.018,-72
820267,4.017,-64
821323,4.018,-79
822361,4.018,-76
823414,4.018,-68
824448,4.016,-78
825494,4.018,-61
826561,4.016,0
827590,4.018,-76
828621,4.017,-75
829676,4.016,-67
830716,4.017,-70
831760,4.017,-73
832790,4.018,-77
833830,4.017,-74
834862,4.016,-61
835890,4.016,-73
836922,4.016,-85
837968,4.016,-71
839003,4.016,-67
840039,4.016,-68
841080,4.017,-75
842134,4.016,-62
843181,4.018,-70
844221,4.016,-68
845265,4.017,-72
846311,4.016,-64
847367,4.016,-74
848398,4.015,-62
849442,4.016,-65
850481,4.016,-70
851516,4.016,-75
852558,4.016,-64
853590,4.016,-70
854636,4.014,-70
855666,4.014,-72
856696,4.015,-71
857742,4.015,-75
858788,4.015,-74
859825,4.015,-78
860871,4.016,-71
861921,4.014,-80
862962,4.015,-79
864004,4.015,-69
865041,4.015,-76
866080,4.014,-78
867120,4.015,-83
868160,4.015,-73
869220,4.015,-73
870261,4.014,-64
871290,4.015,-81
872341,4.014,-64
873380,4.015,-73
874428,4.016,-81
875471,4.015,-70
876520,4.015,-79
877560,4.014,-76
878617,4.014,-71
879679,4.015,-73
880756,4.014,-72
881791,4.014,-71
882831,4.015,-63
883871,4.015,-64
884922,4.014,-64
885960,4.014,-72
887004,4.014,-63
888050,4.013,-71
889101,4.014,-74
890130,4.013,-78
891170,4.014,-72
892212,4.014,-66
893259,4.014,-71
894294,4.014,-78
895341,4.014,-77
896389,4.014,-65
897430,4.014,-74
898478,4.014,-68
899523,4.014,-72
900598,4.013,-75
901630,4.013,-63
902684,4.013,-80
903754,4.012,-64
904801,4.014,-83
905846,4.012,-77
906922,4.013,0
907971,4.012,-80
909007,4.013,-80
910057,4.013,-63
911091,4.014,-77
912122,4.014,-72
913158,4.013,-76
914204,4.012,-64
915244,4.012,-75
916288,4.014,-81
917338,4.014,-79
918402,4.012,-65
919451,4.014,-78
920494,4.014,-74
921531,4.012,-79
922570,4.012,-77
923601,4.012,-72
924649,4.013,-67
925688,4.012,-62
926734,4.012,0
927769,4.012,-70
928819,4.013,-75
929869,4.012,-71
930945,4.013,-66
931991,4.011,-67
933030,4.012,-70
934077,4.012,0
935128,4.011,-81
936189,4.012,-79
937239,4.011,-68
938271,4.012,-79
939308,4.011,-71
940350,4.011,-79
941393,4.011,-76
942432,4.012,-70
943499,4.012,-73
944548,4.012,-65
945584,4.012,-65
946623,4.012,-84
947673,4.012,-65
948714,4.011,-76
949766,4.011,-72
950802,4.012,-76
951841,4.012,-77
952871,4.011,-77
953920,4.011,-77
954969,4.012,-80
956001,4.012,-71
957051,4.011,-78
958092,4.011,-77
959122,4.010,-65
960174,4.011,-76
961216,4.011,-79
962265,4.011,-68
963303,4.011,-78
964344,4.011,-82
965378,4.010,-72
966421,4.011,-66
967451,4.011,-74
968491,4.011,-82
969521,4.011,-70
970571,4.011,-84
971611,4.012,0
972646,4.011,-72
973691,4.009,-67
974731,4.011,-76
975771,4.011,-64
976824,4.011,-65
977864,4.009,-72
978900,4.011,-77
979951,4.010,-72
981011,4.011,-81
982051,4.011,-75
983092,4.011,-78
984132,4.009,-77
985171,4.014,-78
986226,4.012,-70
987271,4.014,-82
988305,4.014,-65
989341,4.013,-70
990401,4.013,-79
991431,4.013,-79
992481,4.013,-79
993524,4.014,-70
994561,4.013,-66
995608,4.012,-76
996641,4.013,-78
997691,4.012,-65
998723,4.012,-75
999781,4.012,-74
1000846,4.012,-80
1001882,4.012,-66
1002922,4.012,-65
1003970,4.013,-70
1005007,4.012,-69
1006057,4.012,-77
1007097,4.012,-73
1008141,4.013,-76
1009188,4.013,-72
1010222,4.012,-67
1011252,4.012,-66
1012308,4.012,-77
1013366,4.011,-78
1014410,4.012,-65
1015459,4.012,-80
1016508,4.012,-64
1017560,4.011,-78
1018595,4.012,-78
1019642,4.011,-73
1020675,4.012,0
1021712,4.009,-77
1022763,4.011,-72
1023808,4.011,-67
1024859,4.012,-77
1025898,4.011,-64
1026938,4.011,-78
1027983,4.010,-76
1029009,4.011,-80
1030049,4.011,-66
1031100,4.011,-75
1032154,4.011,-76
1033193,4.011,-81
1034252,4.011,-64
1035292,4.011,-68
1036338,4.011,-64
1037412,4.011,0
1038450,4.010,-65
1039491,4.011,-73
1040549,4.011,-73
1041582,4.011,-79
1042617,4.010,-64
1043652,4.011,-76
1044701,4.009,-79
1045744,4.011,-76
1046780,4.011,-71
1047819,4.011,-75
1048867,4.011,-64
1049911,4.009,-74
1050953,4.011,-79
1052006,4.009,-65
1053045,4.009,-78
1054097,4.010,-80
1055144,4.010,-71
1056180,4.009,-67
1057210,4.011,-77
1058243,4.011,-66
1059273,4.011,-77
1060313,4.011,-81
1061353,4.011,-71
1062392,4.009,-79
1063422,4.010,-65
1064463,4.010,-80
1065492,4.009,-73
1066520,4.011,-65
1067555,4.011,-79
1068609,4.009,-78
1069652,4.010,-73
1070690,4.009,-76
1071721,4.011,-79
1072772,4.009,-81
1073829,4.010,-67
1074871,4.011,-76
1075903,4.010,-76
1076955,4.010,-80
1077992,4.009,-65
1079040,4.009,-76
1080068,4.009,-73
1081122,4.009,-75
1082155,4.010,-75
1083202,4.009,-75
1084257,4.009,-80
1085295,4.009,-78
1086347,4.009,-87
1087377,4.009,-74
1088415,4.009,-64
1089450,4.008,-75
1090512,4.008,-66
1091543,4.009,-84
1092594,4.008,-74
1093640,4.009,-64
1094682,4.008,-78
1095733,4.009,-71
1096776,4.008,-82
1097812,4.009,-70
1098868,4.008,-65
1099910,4.008,-84
1100958,4.008,-73
1101992,4.009,-69
1103052,4.007,-77
1104116,4.008,-86
1105152,4.008,-78
1106195,4.008,-78
1107240,4.008,-81
1108282,4.009,-65
1109312,4.008,-65
1110355,4.008,-66
1111391,4.008,-85
1112431,4.008,-84
1113471,4.008,-70
1114501,4.008,-65
1115532,4.008,-85
1116566,4.008,-77
1117611,4.008,-85
1118640,4.008,-85
1119697,4.009,-75
1120732,4.008,-85
1121772,4.007,-84
1122812,4.008,-65
1123852,4.008,-79
1124910,4.007,-83
1125952,4.007,-76
1126991,4.008,-65
1128022,4.008,-75
1129072,4.008,-78
1130147,4.008,-84
1131195,4.008,-74
1132234,4.008,-84
1133282,4.008,-79
1134322,4.008,-77
1135391,4.008,-64
1136435,4.007,-69
1137473,4.008,-65
1138498,4.007,-79
1139536,4.008,-66
1140580,4.008,-83
1141608,4.007,-84
1142640,4.008,-75
1143691,4.008,-68
1144733,4.007,-66
1145803,4.004,-82
1146863,4.007,-70
1147894,4.007,-65
1148932,4.008,-81
1149988,4.006,-81
1151039,4.006,-74
1152108,4.006,-73
1153145,4.006,-74
1154183,4.006,-77
1155223,4.006,-65
1156267,4.006,-82
1157303,4.006,-71
1158363,4.005,-82
1159403,4.005,-79
1160447,4.007,-69
1161481,4.006,-76
1162511,4.006,-83
1163542,4.006,-85
1164591,4.006,-77
1165658,4.006,-69
1166701,4.006,-75
1167743,4.006,-83
1168803,4.006,-77
1169847,4.005,-79
1170893,4.005,-68
1171944,4.006,-83
1172983,4.006,-84
1174022,4.006,-85
1175051,4.005,-79
1176094,4.006,-69
1177121,4.006,-80
1178170,4.005,-75
1179214,4.005,-87
1180242,4.006,-66
1181283,4.005,-85
1182313,4.005,-73
1183343,4.005,-76
1184381,4.004,-65
1185441,4.005,-63
1186481,4.006,-65
1187523,4.004,-64
1188551,4.004,-80
1189599,4.006,-77
1190635,4.004,0
1191688,4.006,-63
1192733,4.004,-80
1193774,4.006,-64
1194826,4.006,-73
1195871,4.005,-76
1196905,4.006,-74
1197946,4.005,-82
1198985,4.004,-77
1200019,4.005,-74
1201050,4.003,-66
1202080,4.005,-64
1203123,4.005,-79
1204181,4.004,-67
1205217,4.004,-76
1206294,4.004,-77
1207334,4.006,-63
1208377,4.004,-78
1209421,4.005,-81
1210463,4.004,-89
1211506,4.004,-64
1212553,4.005,-86
1213581,4.004,-87
1214631,4.004,-75
1215673,4.004,-76
1216713,4.005,-85
1217743,4.003,-75
1218784,4.004,-83
1219814,4.004,-82
1220863,4.004,-79
1221893,4.004,-80
1222949,4.004,-73
1223982,4.003,-79
1225043,4.003,-81
1226083,4.004,-74
1227128,4.003,-73
1228181,4.003,-77
1229222,4.004,-85
1230264,4.004,-83
1231300,4.003,-64
1232332,4.003,-84
1233383,4.003,-78
1234434,4.004,-74
1235463,4.003,-75
1236494,4.004,0
1237543,4.003,-82
1238602,4.004,-76
1239641,4.003,-82
1240675,4.004,-81
1241732,4.003,-76
1242772,4.004,-72
1243823,4.003,-82
1244863,4.003,-81
1245925,4.003,-63
1246972,4.003,-81
1248015,4.003,-72
1249055,4.004,-63
1250114,4.003,-73
1251146,4.004,-81
1252194,4.003,-66
1253243,4.003,0
1254291,4.003,-81
1255319,4.003,-66
1256360,4.003,-77
1257399,4.002,-67
1258435,4.001,-72
1259483,4.001,-76
1260533,4.003,-72
1261573,4.003,-79
1262614,4.002,-73
1263643,4.004,-75
1264686,4.003,-77
1265738,4.003,-63
1266784,4.003,-79
1267824,4.002,-80
1268854,4.001,-80
1269893,4.001,-82
1270944,4.001,-66
1271993,4.003,-71
1273032,4.003,-74
1274071,4.002,-81
1275113,4.002,-79
1276179,4.003,-78
1277232,4.002,-77
1278278,4.002,-75
1279315,4.002,-85
1280344,4.003,-71
1281384,4.002,-74
1282441,4.001,-81
1283476,4.002,-78
1284526,4.001,-73
1285579,4.002,-77
1286633,4.002,-75
1287666,4.002,-79
1288712,4.002,-75
1289758,4.002,-74
1290796,4.000,-64
1291833,4.002,-78
1292888,4.001,0
1293929,4.003,-74
1294980,4.001,-64
1296016,4.002,-74
1297067,4.001,-67
1298123,4.000,-72
1299163,4.002,-79
1300217,4.001,-65
1301254,4.001,-78
1302291,4.001,-76
1303324,4.001,-65
1304377,4.002,-64
1305425,4.001,-72
1306474,4.000,-72
1307547,4.001,-78
1308584,4.001,-74
1309627,4.001,-68
1310668,4.000,0
1311700,4.001,-79
1312731,4.001,-68
1313770,4.001,-63
1314800,4.001,-79
1315859,4.001,-77
1316914,4.001,-73
1317961,4.001,-77
1319009,4.001,-78
1320047,4.001,-64
1321105,4.001,-78
1322148,4.001,-76
1323184,3.999,-63
1324235,3.999,-77
1325275,4.000,-72
1326324,4.001,-66
1327380,4.001,-78
1328414,4.001,-84
1329469,4.001,-76
1330531,4.000,-83
1331577,4.001,0
1332636,4.001,-86
1333685,3.999,-82
1334779,4.000,-74
1335825,4.001,-73
1336881,3.999,-74
1337938,4.000,-82
1338976,4.000,-74
1340032,4.000,-87
1341065,3.999,-83
1342117,3.999,-74
1343164,4.001,-77
1344205,3.999,-74
1345244,4.001,-79
1346289,3.999,-80
1347351,3.999,-86
1348393,3.998,-68
1349459,4.000,0
1350497,4.000,-78
1351545,3.999,-77
1352594,3.999,-82
1353650,3.999,-79
1354694,3.999,-83
1355732,3.999,-77
1356764,3.999,-75
1357813,3.998,-65
1358853,3.999,-85
1359885,3.999,-76
1360924,3.999,-83
1361973,3.999,-83
1363003,3.999,-74
1364054,3.999,-67
1365094,3.999,-67
1366130,4.000,-81
1367159,3.999,-84
1368194,3.999,-82
1369244,3.998,-74
1370270,3.999,-87
1371324,3.999,-74
1372362,3.999,-75
1373394,3.999,-75
1374444,3.999,-85
1375481,3.999,-79
1376514,3.998,-74
1377541,3.999,-64
1378584,3.999,-74
1379630,3.999,-83
1380674,3.999,-80
1381734,3.998,-81
1382795,3.999,0
1383825,3.999,-81
1384866,3.999,-84
1385906,3.998,-79
1386955,3.999,-74
1387995,3.998,-86
1389045,3.998,-79
1390074,3.998,-81
1391115,3.998,-84
1392155,3.999,-83
1393184,3.999,-77
1394252,3.999,-73
1395284,3.998,-68
1396314,3.997,-86
1397360,3.999,-63
1398394,3.998,-73
1399434,3.999,-76
1400498,3.998,-86
1401554,3.998,-83
1402599,3.999,-84
1403660,3.998,-71
1404694,3.998,-74
1405749,3.998,-65
1406795,3.998,-73
1407865,3.999,-82
1408903,3.998,-67
1409959,3.998,0
1410995,3.998,-76
1412049,3.998,-80
1413115,3.997,-75
1414146,3.998,-79
1415185,3.997,-76
1416216,3.999,-78
1417254,3.998,-83
1418305,3.998,0
1419344,3.998,-76
1420393,3.998,-74
1421424,3.998,-65
1422472,3.998,-66
1423510,3.998,-75
1424545,3.997,-75
1425590,3.998,-68
